816,834,509,444,684,202,624,219,227,0
8,132,388,299,77,899,637,525,246,0
88,595,821,822,649,975,801,734,322,0
749,179,7,205,397,784,114,830,449,0
523,993,286,948,592,260,855,496,490,0
994,850,533,53,159,522,692,42,524,0
658,164,230,891,511,8,677,814,624,0
722,263,415,615,924,78,340,518,648,0
134,350,881,729,452,340,249,397,792,0
161,280,330,886,704,12,36,687,886,0
675,849,786,991,276,953,110,580,42,1
802,911,559,710,60,979,382,817,142,1
309,515,216,413,785,320,44,895,350,1
251,967,874,24,18,31,955,274,418,1
830,824,829,399,427,431,496,819,649,1
312,862,534,294,288,319,769,446,672,1
529,270,504,565,706,767,688,107,745,1
923,239,842,581,954,496,444,80,937,1
52,218,118,319,622,125,313,9,964,1
703,759,785,901,217,348,380,902,974,1
543,162,175,129,652,528,878,261,79,2
967,756,309,260,281,142,440,29,83,2
876,961,990,271,10,693,74,850,93,2
38,337,256,83,197,385,991,421,382,2
397,732,59,329,687,179,917,817,421,2
44,746,308,828,685,995,938,65,587,2
183,636,942,558,876,937,179,280,610,2
129,236,212,958,467,678,486,635,621,2
947,767,116,379,641,424,315,930,715,2
182,738,701,614,353,10,528,957,854,2
449,349,171,355,589,271,490,621,133,3
60,8,999,130,134,85,674,160,137,3
147,100,397,257,800,903,275,297,146,3
906,805,901,532,785,611,772,321,192,3
20,176,823,186,373,823,589,596,322,3
181,761,440,937,866,253,225,239,490,3
651,8,849,732,806,172,954,93,821,3
873,518,211,561,956,967,762,442,917,3
211,73,910,891,500,78,89,749,980,3
475,891,756,533,188,164,637,986,983,3
717,924,813,182,258,510,997,20,24,4
844,117,439,150,494,697,896,20,72,4
922,249,113,245,946,628,461,358,377,4
687,372,265,628,363,543,989,248,435,4
277,488,192,780,892,608,768,394,443,4
656,733,795,390,113,371,400,318,468,4
186,181,895,292,912,294,199,67,675,4
999,385,639,868,224,3,636,29,785,4
448,878,789,261,618,747,959,750,904,4
200,375,293,45,330,873,246,291,968,4
520,20,548,643,424,77,54,503,58,5
129,506,14,142,602,873,855,332,183,5
42,394,269,585,102,239,212,338,235,5
111,375,162,468,108,134,112,705,252,5
159,612,396,338,759,864,404,784,564,5
342,19,765,871,971,916,540,852,589,5
344,5,53,750,752,640,246,913,589,5
129,191,832,546,863,388,303,500,695,5
326,952,803,856,570,152,551,584,980,5
502,326,839,891,244,501,698,552,989,5
523,947,388,187,433,36,961,577,8,6
579,674,508,851,700,717,749,133,177,6
476,537,297,950,845,747,771,276,216,6
397,625,792,433,765,66,498,655,378,6
467,307,801,193,975,187,587,464,474,6
296,235,905,856,437,302,934,527,538,6
679,882,394,645,312,723,432,742,742,6
