528,782,6690,4480,0,400,212,77,270,621,327,665,295,577,0
415,782,6690,7884,0,581,743,389,744,455,470,642,481,1236,0
257,782,7764,2150,0,649,643,554,652,386,631,16,575,2005,0
299,782,7764,4661,0,226,695,96,474,272,247,437,184,2151,0
89,3360,2777,3830,0,687,511,795,203,796,383,661,226,2464,0
412,3360,2777,4969,0,191,675,183,672,465,570,772,150,2803,0
111,3360,3711,1005,0,612,488,186,480,305,746,192,83,5791,0
238,3360,3711,3059,0,288,26,694,219,622,120,673,334,6704,0
301,3852,2918,1023,1,682,639,385,113,740,155,88,89,888,1
777,3852,2918,6170,1,187,494,432,282,473,124,360,286,2099,1
158,3852,3950,3118,1,751,694,73,17,474,773,690,380,2143,1
430,3852,3950,7025,1,647,62,732,113,295,555,726,113,5767,1
415,5413,1381,1588,1,166,413,427,281,469,165,739,761,5927,1
221,5413,1381,4931,1,276,714,624,33,109,296,409,330,5966,1
527,5413,3524,4743,1,52,550,718,644,507,485,378,770,6134,1
454,5413,3524,6529,1,634,358,436,367,307,346,262,392,6171,1
12,4515,2407,1408,2,637,74,26,790,453,217,142,504,675,2
180,4515,2407,2274,2,154,96,520,340,180,5,179,96,960,2
690,4515,5039,3702,2,16,190,490,584,721,253,405,198,2637,2
601,4515,5039,7803,2,331,414,631,367,759,717,691,744,3040,2
543,5588,1050,537,2,138,605,511,406,748,790,513,532,3244,2
501,5588,1050,4330,2,33,179,567,137,557,684,667,109,3873,2
97,5588,6905,4791,2,686,543,383,309,775,599,722,641,5593,2
110,5588,6905,6385,2,466,185,95,703,706,4,488,258,6467,2
730,527,2965,3613,3,437,785,276,119,514,497,483,329,438,3
76,527,2965,4396,3,186,458,443,629,151,261,38,489,1756,3
340,527,6344,302,3,117,668,219,507,175,509,606,573,2251,3
544,527,6344,3548,3,652,383,471,607,90,419,21,563,2383,3
629,1993,256,4525,3,594,228,664,134,316,159,250,597,5344,3
590,1993,256,5762,3,196,160,275,756,603,298,245,284,5872,3
292,1993,7832,2319,3,545,23,264,31,588,7,345,71,5962,3
40,1993,7832,3167,3,138,375,252,400,675,379,27,149,7935,3
655,1769,4670,966,4,612,208,638,408,488,541,20,287,1014,4
9,1769,4670,2527,4,216,718,752,465,666,292,781,503,3294,4
627,1769,6659,1317,4,380,325,224,363,430,310,35,98,3654,4
459,1769,6659,6262,4,99,468,706,719,72,283,452,167,4657,4
108,6193,4379,3239,4,67,447,754,369,336,301,693,55,5010,4
566,6193,4379,5834,4,460,684,433,318,539,754,365,210,6725,4
376,6193,5738,964,4,314,225,91,202,304,599,330,10,7660,4
313,6193,5738,7968,4,323,278,310,2,236,574,687,244,7693,4
466,2789,3263,812,5,614,450,504,128,68,230,197,626,1429,5
141,2789,3263,5227,5,112,479,90,392,615,796,283,289,3893,5
39,2789,7763,2980,5,515,629,356,333,520,50,84,293,5065,5
500,2789,7763,7131,5,557,49,151,245,84,20,8,252,5787,5
10,4506,7116,3520,5,258,38,315,148,327,381,447,236,6426,5
274,4506,7116,7301,5,560,764,279,76,63,170,41,580,6994,5
141,4506,7399,4553,5,55,277,62,756,33,442,568,1,7437,5
772,4506,7399,4922,5,614,352,148,146,417,301,518,497,7581,5
289,4101,3156,179,6,723,649,508,88,362,698,197,56,163,6
342,4101,3156,7686,6,746,36,628,11,38,778,578,622,769,6
788,4101,7174,1134,6,704,99,261,69,542,328,77,740,2866,6
223,4101,7174,4719,6,772,269,523,374,785,269,79,677,4289,6
782,6438,2177,2919,6,251,40,171,718,445,370,404,421,4357,6
123,6438,2177,7013,6,320,267,49,596,244,653,363,80,4469,6
117,6438,5061,5981,6,162,300,255,343,571,439,187,202,5006,6
16,6438,5061,7064,6,107,761,93,627,576,79,243,535,5614,6
221,3180,4553,4764,7,100,532,782,693,668,667,777,130,2811,7
205,3180,4553,5941,7,648,279,288,602,451,247,601,173,2878,7
794,3180,5924,352,7,628,523,373,324,47,619,66,429,3996,7
401,3180,5924,3160,7,467,302,545,376,150,162,279,278,5603,7
297,6714,4341,4432,7,355,353,209,753,36,753,187,749,5692,7
598,6714,4341,5492,7,606,264,784,410,224,134,646,58,6784,7
163,6714,6212,3194,7,248,571,515,545,520,8,451,791,7825,7
231,6714,6212,4017,7,556,659,650,193,680,391,225,303,7905,7
604,1542,5488,783,8,9,292,547,340,643,110,380,753,127,8
655,1542,5488,6614,8,731,226,346,311,637,195,58,469,143,8
364,1542,7467,1729,8,410,401,417,280,46,254,207,549,2176,8
294,1542,7467,6217,8,50,657,194,507,246,84,162,795,3137,8
413,5209,1894,594,8,515,109,731,1,499,630,309,723,3609,8
346,5209,1894,1021,8,504,130,358,366,352,166,519,493,4140,8
