528,782,6690,4480,0
415,782,6690,7884,0
257,782,7764,2150,0
299,782,7764,4661,0
89,3360,2777,3830,0
412,3360,2777,4969,0
111,3360,3711,1005,0
238,3360,3711,3059,0
301,3852,2918,1023,1
777,3852,2918,6170,1
158,3852,3950,3118,1
430,3852,3950,7025,1
415,5413,1381,1588,1
221,5413,1381,4931,1
527,5413,3524,4743,1
454,5413,3524,6529,1
12,4515,2407,1408,2
180,4515,2407,2274,2
690,4515,5039,3702,2
601,4515,5039,7803,2
543,5588,1050,537,2
501,5588,1050,4330,2
97,5588,6905,4791,2
110,5588,6905,6385,2
730,527,2965,3613,3
76,527,2965,4396,3
340,527,6344,302,3
544,527,6344,3548,3
629,1993,256,4525,3
590,1993,256,5762,3
292,1993,7832,2319,3
40,1993,7832,3167,3
655,1769,4670,966,4
9,1769,4670,2527,4
627,1769,6659,1317,4
459,1769,6659,6262,4
108,6193,4379,3239,4
566,6193,4379,5834,4
376,6193,5738,964,4
313,6193,5738,7968,4
466,2789,3263,812,5
141,2789,3263,5227,5
39,2789,7763,2980,5
500,2789,7763,7131,5
10,4506,7116,3520,5
274,4506,7116,7301,5
141,4506,7399,4553,5
772,4506,7399,4922,5
289,4101,3156,179,6
342,4101,3156,7686,6
788,4101,7174,1134,6
223,4101,7174,4719,6
782,6438,2177,2919,6
123,6438,2177,7013,6
117,6438,5061,5981,6
16,6438,5061,7064,6
221,3180,4553,4764,7
205,3180,4553,5941,7
794,3180,5924,352,7
401,3180,5924,3160,7
297,6714,4341,4432,7
598,6714,4341,5492,7
163,6714,6212,3194,7
231,6714,6212,4017,7
604,1542,5488,783,8
655,1542,5488,6614,8
364,1542,7467,1729,8
294,1542,7467,6217,8
413,5209,1894,594,8
346,5209,1894,1021,8
490,5209,5210,789,8
116,5209,5210,7548,8
561,3550,1545,949,9
573,3550,1545,1573,9
480,3550,2861,3731,9
430,3550,2861,7763,9
450,6464,2059,210,9
664,6464,2059,4080,9
464,6464,7719,708,9
405,6464,7719,5871,9
5,4730,2240,5288,10
458,4730,2240,7452,10
327,4730,4318,2516,10
231,4730,4318,6878,10
285,6897,7140,3866,10
580,6897,7140,7727,10
72,6897,7208,3868,10
683,6897,7208,7709,10
314,885,6147,430,11
150,885,6147,6179,11
378,885,7015,1371,11
131,885,7015,5941,11
227,3098,1509,2207,11
674,3098,1509,4111,11
418,3098,2477,5442,11
713,3098,2477,7587,11
289,1001,2378,299,12
48,1001,2378,6372,12
403,1001,6582,394,12
765,1001,6582,444,12
604,5144,5762,1667,12
346,5144,5762,5286,12
340,5144,6417,712,12
33,5144,6417,2790,12
553,308,251,3046,13
64,308,251,3239,13
398,308,5904,4293,13
387,308,5904,6076,13
460,1941,1948,1456,13
302,1941,1948,5437,13
576,1941,5176,6652,13
207,1941,5176,6965,13
491,3629,6764,4578,14
8,3629,6764,7961,14
111,3629,7202,712,14
742,3629,7202,1621,14
528,7643,1645,3755,14
548,7643,1645,4685,14
656,7643,2274,2746,14
456,7643,2274,4934,14
696,392,370,4837,15
26,392,370,5880,15
630,392,3428,1562,15
126,392,3428,1667,15
456,448,1482,1444,15
16,448,1482,7445,15
517,448,7211,395,15
792,448,7211,2595,15
363,2307,2144,4907,16
139,2307,2144,5482,16
187,2307,3596,3545,16
428,2307,3596,4855,16
468,7461,1696,3207,16
783,7461,1696,4998,16
751,7461,4696,170,16
514,7461,4696,3746,16
354,251,1765,2038,17
259,251,1765,7508,17
499,251,4954,7574,17
